sweep_id,radar_site,altitude_padding_m,horizontal_corridor_padding_km,reflectivity_max_dbz,max_gates_per_cluster,n_clusters,n_tracklets,n_consistent_tracklets,mean_tracklet_score,mean_balloon_like_score
SWEEP_048,KIWA,1000,20,5.0,25,1479,10,10,1.2329,0.771
SWEEP_049,KIWA,1000,20,10.0,5,931,10,10,1.2338,0.7808
SWEEP_050,KIWA,1000,20,10.0,10,1127,10,10,1.2359,0.7724
SWEEP_051,KIWA,1000,20,10.0,25,1270,10,10,1.2378,0.7629
SWEEP_052,KIWA,1000,20,20.0,5,902,10,10,1.2308,0.7804
SWEEP_053,KIWA,1000,20,20.0,10,1089,10,10,1.235,0.7853
SWEEP_054,KIWA,1000,20,20.0,25,1238,10,10,1.2384,0.7697
SWEEP_055,KIWA,1000,40,5.0,5,1732,10,10,1.2307,0.7707
SWEEP_056,KIWA,1000,40,5.0,10,2094,10,10,1.232,0.7681
SWEEP_057,KIWA,1000,40,5.0,25,2351,10,10,1.233,0.7713
SWEEP_058,KIWA,1000,40,10.0,5,1536,10,10,1.233,0.7817
SWEEP_059,KIWA,1000,40,10.0,10,1874,10,10,1.2359,0.7724
SWEEP_060,KIWA,1000,40,10.0,25,2119,10,10,1.2367,0.7655
SWEEP_061,KIWA,1000,40,20.0,5,1498,10,10,1.2293,0.7776
SWEEP_062,KIWA,1000,40,20.0,10,1831,10,10,1.235,0.7853
SWEEP_063,KIWA,1000,40,20.0,25,2083,10,10,1.2369,0.78
SWEEP_064,KIWA,1000,60,5.0,5,2434,10,10,1.2307,0.7707
SWEEP_065,KIWA,1000,60,5.0,10,2919,10,10,1.232,0.7681
SWEEP_066,KIWA,1000,60,5.0,25,3260,10,10,1.233,0.7713
SWEEP_067,KIWA,1000,60,10.0,5,2154,10,10,1.233,0.7817
SWEEP_068,KIWA,1000,60,10.0,10,2625,10,10,1.2359,0.7724
SWEEP_069,KIWA,1000,60,10.0,25,2978,10,10,1.2367,0.7655
SWEEP_070,KIWA,1000,60,20.0,5,2111,10,10,1.2293,0.7776
SWEEP_071,KIWA,1000,60,20.0,10,2563,10,10,1.235,0.7853
SWEEP_072,KIWA,1000,60,20.0,25,2924,10,10,1.2369,0.78
SWEEP_073,KIWA,1500,10,5.0,5,534,10,10,1.1903,0.7392
SWEEP_074,KIWA,1500,10,5.0,10,664,10,10,1.2002,0.7238
