case_id,radar_site,scan_time_utc,scan_filename,search_window,cluster_id,n_gates,cluster_center_lat_deg,cluster_center_lon_deg,cluster_center_alt_m,cluster_min_distance_to_expected_km,cluster_min_vertical_distance_m,cluster_max_reflectivity_dbz,cluster_mean_reflectivity_dbz,cluster_p95_reflectivity_dbz,cluster_velocity_mean_ms,cluster_spectrum_width_mean_ms,cluster_rhohv_mean,compactness_km,notes
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_004,2,32.39266502331187,-110.45470685485152,4885.0,9.024556912443227,2549.9629629629626,-4.0,-4.25,-4.025,,,,0.12511902295642147,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_005,2,32.35524995802186,-110.44685800159237,4662.0,7.285653955981395,2773.9629629629626,-4.5,-5.0,-4.55,,,,0.1250746837297862,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_006,4,32.32762584232029,-110.62083300357565,6131.75,9.041430140780632,248.9629629629626,-4.0,-5.125,-4.15,0.75,0.0,0.949999988079071,1.177426020837885,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_007,2,32.30926672279297,-110.56506689276291,4972.0,4.833216871531405,2461.9629629629626,-6.5,-6.75,-6.525,,,,0.1250679740744466,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_008,4,32.30980738931827,-110.46497258199696,5615.25,5.7082635854461765,1284.9629629629626,-1.5,-5.0,-2.1000000000000014,,0.0,1.0516666173934937,0.9939684125193949,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_009,4,32.375263783478026,-110.58997516993679,7201.75,7.204385165754808,494.0370370370374,-3.5,-4.75,-3.575,,,,1.382025543062676,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_010,2,32.26907314405426,-110.56349331879329,6419.5,7.970873005618917,1008.9629629629626,-6.5,-7.25,-6.575,,,,0.12507477568150593,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_011,2,32.3136874344332,-110.52865203576039,7053.5,2.055047617470958,374.9629629629626,-6.0,-6.5,-6.05,,,,0.125059238585397,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_012,2,32.37340240396753,-110.48283415321157,7907.5,5.682685695666064,450.0370370370374,-5.0,-5.5,-5.05,,,,0.12503981725310742,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,tight,20260322_202840_tight_001,2,32.3136874344332,-110.52865203576039,7053.5,2.055047617470958,374.9629629629626,-6.0,-6.5,-6.05,,,,0.125059238585397,DBSCAN cluster
